Measurement,Value,Timestamp,Line
state,idle,2022-07-01 00:00:00.000000,line_1
state,normal,2022-07-01 00:00:00.000000,line_2
state,normal,2022-07-01 00:00:47.825314,line_1
state,normal,2022-07-01 00:07:14.855778,line_2
good_count,25,2022-07-01 00:07:14.855778,line_2
bad_count,1,2022-07-01 00:07:14.855778,line_2
good_count,21,2022-07-01 00:14:28.547173,line_2
state,normal,2022-07-01 00:14:28.547173,line_2
bad_count,1,2022-07-01 00:14:28.547173,line_2
state,normal,2022-07-01 00:15:10.491973,line_1
good_count,57,2022-07-01 00:15:10.491973,line_1
bad_count,1,2022-07-01 00:15:10.491973,line_1
good_count,21,2022-07-01 00:20:32.662573,line_2
bad_count,1,2022-07-01 00:20:32.662573,line_2
state,normal,2022-07-01 00:20:32.662573,line_2
good_count,36,2022-07-01 00:25:37.670997,line_1
bad_count,0,2022-07-01 00:25:37.670997,line_1
state,normal,2022-07-01 00:25:37.670997,line_1
good_count,18,2022-07-01 00:31:54.349376,line_1
bad_count,0,2022-07-01 00:31:54.349376,line_1
state,idle,2022-07-01 00:31:54.349376,line_1
state,normal,2022-07-01 00:33:11.065272,line_1
good_count,42,2022-07-01 00:35:25.686506,line_2
bad_count,2,2022-07-01 00:35:25.686506,line_2
state,normal,2022-07-01 00:35:25.686506,line_2
good_count,25,2022-07-01 00:44:01.477093,line_1
bad_count,0,2022-07-01 00:44:01.477093,line_1
state,normal,2022-07-01 00:44:01.477093,line_1
good_count,29,2022-07-01 00:47:10.581525,line_2
bad_count,1,2022-07-01 00:47:10.581525,line_2
state,normal,2022-07-01 00:47:10.581525,line_2
state,normal,2022-07-01 00:52:23.343424,line_2
bad_count,1,2022-07-01 00:52:23.343424,line_2
good_count,16,2022-07-01 00:52:23.343424,line_2
bad_count,1,2022-07-01 00:58:39.552757,line_1
state,idle,2022-07-01 00:58:39.552757,line_1
good_count,55,2022-07-01 00:58:39.552757,line_1
state,normal,2022-07-01 01:00:05.984917,line_1
good_count,18,2022-07-01 01:02:07.149460,line_2
state,idle,2022-07-01 01:02:07.149460,line_2
bad_count,1,2022-07-01 01:02:07.149460,line_2
state,idle,2022-07-01 01:02:52.696767,line_2
state,normal,2022-07-01 01:03:27.228672,line_2
state,planned_stop,2022-07-01 01:10:40.540046,line_2
bad_count,1,2022-07-01 01:10:40.540046,line_2
good_count,12,2022-07-01 01:10:40.540046,line_2
bad_count,1,2022-07-01 01:10:50.881746,line_1
state,normal,2022-07-01 01:10:50.881746,line_1
good_count,34,2022-07-01 01:10:50.881746,line_1
state,normal,2022-07-01 01:21:50.384694,line_1
bad_count,0,2022-07-01 01:21:50.384694,line_1
good_count,22,2022-07-01 01:21:50.384694,line_1
state,normal,2022-07-01 01:33:30.043229,line_1
bad_count,0,2022-07-01 01:33:30.043229,line_1
good_count,49,2022-07-01 01:33:30.043229,line_1
state,normal,2022-07-01 01:40:25.177182,line_2
state,normal,2022-07-01 01:40:50.184012,line_1
good_count,25,2022-07-01 01:40:50.184012,line_1
bad_count,0,2022-07-01 01:40:50.184012,line_1
bad_count,0,2022-07-01 01:50:47.565126,line_1
state,idle,2022-07-01 01:50:47.565126,line_1
good_count,36,2022-07-01 01:50:47.565126,line_1
state,idle,2022-07-01 01:51:53.789243,line_1
state,idle,2022-07-01 01:51:56.749099,line_2
bad_count,1,2022-07-01 01:51:56.749099,line_2
good_count,28,2022-07-01 01:51:56.749099,line_2
state,normal,2022-07-01 01:52:31.648591,line_1
state,idle,2022-07-01 01:53:22.517961,line_2
state,normal,2022-07-01 01:54:15.635035,line_2
good_count,31,2022-07-01 02:04:19.270558,line_2
bad_count,1,2022-07-01 02:04:19.270558,line_2
state,normal,2022-07-01 02:04:19.270558,line_2
state,normal,2022-07-01 02:05:38.494190,line_1
bad_count,0,2022-07-01 02:05:38.494190,line_1
good_count,51,2022-07-01 02:05:38.494190,line_1
state,normal,2022-07-01 02:11:52.371012,line_2
good_count,17,2022-07-01 02:11:52.371012,line_2
bad_count,1,2022-07-01 02:11:52.371012,line_2
state,idle,2022-07-01 02:15:03.004316,line_1
bad_count,0,2022-07-01 02:15:03.004316,line_1
good_count,27,2022-07-01 02:15:03.004316,line_1
state,normal,2022-07-01 02:16:23.662715,line_1
state,normal,2022-07-01 02:23:41.519541,line_1
bad_count,0,2022-07-01 02:23:41.519541,line_1
good_count,14,2022-07-01 02:23:41.519541,line_1
state,idle,2022-07-01 02:23:44.299534,line_2
good_count,30,2022-07-01 02:23:44.299534,line_2
bad_count,2,2022-07-01 02:23:44.299534,line_2
state,idle,2022-07-01 02:24:34.564412,line_2
state,idle,2022-07-01 02:25:53.235367,line_2
state,idle,2022-07-01 02:26:53.480723,line_2
state,normal,2022-07-01 02:28:16.668283,line_2
bad_count,0,2022-07-01 02:28:46.263004,line_1
good_count,19,2022-07-01 02:28:46.263004,line_1
state,idle,2022-07-01 02:28:46.263004,line_1
state,idle,2022-07-01 02:29:26.156808,line_1
state,normal,2022-07-01 02:30:04.725142,line_1
good_count,23,2022-07-01 02:35:53.329370,line_1
state,idle,2022-07-01 02:35:53.329370,line_1
bad_count,0,2022-07-01 02:35:53.329370,line_1
state,idle,2022-07-01 02:36:33.734952,line_1
state,idle,2022-07-01 02:38:02.841614,line_1
state,idle,2022-07-01 02:39:19.155828,line_1
state,idle,2022-07-01 02:40:21.571246,line_1
state,idle,2022-07-01 02:41:32.834646,line_1
state,normal,2022-07-01 02:42:22.559081,line_1
state,normal,2022-07-01 02:43:16.501300,line_2
good_count,41,2022-07-01 02:43:16.501300,line_2
bad_count,1,2022-07-01 02:43:16.501300,line_2
good_count,24,2022-07-01 02:50:48.114064,line_1
bad_count,0,2022-07-01 02:50:48.114064,line_1
state,idle,2022-07-01 02:50:48.114064,line_1
state,normal,2022-07-01 02:51:51.617925,line_1
state,normal,2022-07-01 02:52:48.104039,line_2
bad_count,0,2022-07-01 02:52:48.104039,line_2
good_count,18,2022-07-01 02:52:48.104039,line_2
bad_count,0,2022-07-01 02:57:11.475669,line_1
good_count,11,2022-07-01 02:57:11.475669,line_1
state,idle,2022-07-01 02:57:11.475669,line_1
state,normal,2022-07-01 02:58:10.777818,line_1
good_count,15,2022-07-01 02:58:58.518107,line_2
bad_count,1,2022-07-01 02:58:58.518107,line_2
state,normal,2022-07-01 02:58:58.518107,line_2
good_count,23,2022-07-01 03:06:17.331246,line_2
bad_count,1,2022-07-01 03:06:17.331246,line_2
state,normal,2022-07-01 03:06:17.331246,line_2
good_count,21,2022-07-01 03:06:52.102106,line_1
bad_count,0,2022-07-01 03:06:52.102106,line_1
state,idle,2022-07-01 03:06:52.102106,line_1
state,normal,2022-07-01 03:07:51.945991,line_1
bad_count,1,2022-07-01 03:17:22.858615,line_2
state,normal,2022-07-01 03:17:22.858615,line_2
good_count,29,2022-07-01 03:17:22.858615,line_2
good_count,45,2022-07-01 03:22:19.490562,line_1
state,normal,2022-07-01 03:22:19.490562,line_1
bad_count,1,2022-07-01 03:22:19.490562,line_1
state,normal,2022-07-01 03:29:35.629845,line_2
good_count,29,2022-07-01 03:29:35.629845,line_2
bad_count,1,2022-07-01 03:29:35.629845,line_2
bad_count,1,2022-07-01 03:33:34.622060,line_1
state,normal,2022-07-01 03:33:34.622060,line_1
good_count,39,2022-07-01 03:33:34.622060,line_1
state,normal,2022-07-01 03:37:34.551105,line_2
good_count,17,2022-07-01 03:37:34.551105,line_2
bad_count,1,2022-07-01 03:37:34.551105,line_2
bad_count,0,2022-07-01 03:41:11.068148,line_1
good_count,16,2022-07-01 03:41:11.068148,line_1
state,idle,2022-07-01 03:41:11.068148,line_1
state,normal,2022-07-01 03:42:28.627650,line_1
state,idle,2022-07-01 03:47:14.480480,line_2
bad_count,1,2022-07-01 03:47:14.480480,line_2
good_count,23,2022-07-01 03:47:14.480480,line_2
state,idle,2022-07-01 03:48:10.870414,line_2
good_count,17,2022-07-01 03:49:20.475197,line_1
bad_count,0,2022-07-01 03:49:20.475197,line_1
state,normal,2022-07-01 03:49:20.475197,line_1
state,idle,2022-07-01 03:49:27.754086,line_2
state,normal,2022-07-01 03:50:06.756082,line_2
state,normal,2022-07-01 04:02:39.314375,line_1
bad_count,1,2022-07-01 04:02:39.314375,line_1
good_count,43,2022-07-01 04:02:39.314375,line_1
state,idle,2022-07-01 04:03:47.496840,line_2
bad_count,1,2022-07-01 04:03:47.496840,line_2
good_count,37,2022-07-01 04:03:47.496840,line_2
state,idle,2022-07-01 04:04:38.573746,line_2
state,normal,2022-07-01 04:05:31.337916,line_2
state,normal,2022-07-01 04:12:40.684724,line_2
bad_count,1,2022-07-01 04:12:40.684724,line_2
good_count,21,2022-07-01 04:12:40.684724,line_2
good_count,52,2022-07-01 04:16:21.456085,line_1
bad_count,0,2022-07-01 04:16:21.456085,line_1
state,normal,2022-07-01 04:16:21.456085,line_1
state,normal,2022-07-01 04:24:19.178184,line_2
bad_count,1,2022-07-01 04:24:19.178184,line_2
good_count,41,2022-07-01 04:24:19.178184,line_2
good_count,29,2022-07-01 04:24:24.943044,line_1
bad_count,0,2022-07-01 04:24:24.943044,line_1
state,idle,2022-07-01 04:24:24.943044,line_1
state,idle,2022-07-01 04:25:38.226447,line_1
state,idle,2022-07-01 04:26:10.362075,line_1
state,idle,2022-07-01 04:27:40.104428,line_1
state,normal,2022-07-01 04:28:42.501410,line_1
bad_count,0,2022-07-01 04:32:21.151524,line_2
state,idle,2022-07-01 04:32:21.151524,line_2
good_count,18,2022-07-01 04:32:21.151524,line_2
state,normal,2022-07-01 04:33:15.507766,line_2
good_count,42,2022-07-01 04:39:17.213975,line_1
bad_count,1,2022-07-01 04:39:17.213975,line_1
state,idle,2022-07-01 04:39:17.213975,line_1
state,idle,2022-07-01 04:40:32.200526,line_1
state,idle,2022-07-01 04:41:49.208330,line_1
state,normal,2022-07-01 04:43:01.215148,line_1
state,normal,2022-07-01 04:45:18.559616,line_2
bad_count,1,2022-07-01 04:45:18.559616,line_2
good_count,36,2022-07-01 04:45:18.559616,line_2
state,normal,2022-07-01 04:56:13.212241,line_1
bad_count,1,2022-07-01 04:56:13.212241,line_1
good_count,52,2022-07-01 04:56:13.212241,line_1
