Signal,Oscillation,Length,Period,N_periods,Waveform,Smooth_factor,Disturbance_Level,Noise_level,Frequency_change_factor
0,0,2055,193.21721839004434,10.635698086966588,squ,0.0034721181559591767,1.6773904925487022,0.06787191326792968,0.5417964818924841
1,1,2795,59.94866516606319,46.62322325705833,tri,0.06470311470755188,4.657913280456103,0.08520717938310868,1.0932122622391836
2,1,2551,41.23689494687939,61.86207771671828,sin,0.16661679732774975,1.1177945325359568,0.024588485856445703,0.5055486465842776
3,0,515,67.26668014379204,7.656093609779978,tri,0.05684961667506636,2.015757395872226,0.09074395462871467,0.952671306621957
4,2,2269,14.918784186455643,152.0901416390193,sin,0.3635743087054169,0.18743662338753603,0.10984000980948497,0.5409703264961467
5,2,344,69.91758516538064,4.920078392099988,tri,0.08092644795819914,3.8694800849125435,0.044069367956314554,0.8554193061463219
6,2,2130,41.975562070320926,50.74381127837307,squ,0.0028266306693740034,0.40788151416664997,0.13465941118737842,0.7489898958420155
7,0,523,45.00707908538343,11.62039418305309,tri,0.3628959366113915,0.770328307266799,0.07952345774554487,1.0552118715805978
8,0,725,200.98334257716525,3.6072641180283114,sin,0.03075393485659815,0.2768735008522698,0.05401430922759422,0.8196764011226803
9,2,2743,56.24912075561264,48.76520669394283,tri,0.08487454799808206,2.3187357539697273,0.004320897352433349,0.5419636257146488
10,2,2209,49.57043355932621,44.562854132721164,tri,0.44314250086183365,2.473837233374782,0.004732258107748203,0.9727019372410777
11,2,2397,60.43874206750562,39.65999155513077,squ,0.06969622167948357,0.48325631980066325,0.0956332197112157,0.7668926780175724
12,1,8568,38.653800016337776,221.65996606746475,tri,0.028623002677983546,0.12670521746480648,0.00032672210150028284,0.8475582083944653
13,1,9764,56.78682969156413,171.94127675436113,squ,0.4518612424829829,1.2345075096114146,0.007455088049391584,0.5691733914922493
14,2,4024,122.05345049126981,32.96916214824936,sin,0.051484293024839395,0.008007033438815599,0.18919352976847573,0.6477120495551602
15,1,1541,14.647075174403865,105.20871789426852,sin,0.2180666291639681,0.6667715688650914,0.047036810432331135,0.5001120941777102
16,1,451,19.142534696960176,23.560098343278362,squ,0.4143259966097088,0.5576995138931328,0.10385919967979314,0.6320760500684797
17,1,2775,32.369094924179215,85.72992252332386,squ,0.25852542293536834,0.19132429531639628,0.07297559077170482,0.5162125234850783
18,0,416,38.29867297107304,10.861995148348992,sin,0.07284507292734296,0.3642698263288617,0.039792079311898654,0.6114458573302383
19,1,620,58.26798914583071,10.640490758112309,squ,0.048887946026137295,0.09160136578601792,0.06747133315942848,0.6804283989272897
20,1,380,17.588297117045975,21.605275227680625,sin,0.8859905894253993,2.3372156215226823,0.03160524886512508,0.6619103272166736
21,2,1401,41.93203197507007,33.41121176366887,sin,0.062355903426876705,0.8330727698589059,0.09345579044153515,0.6775718330678936
22,2,7058,24.8150615727498,284.4240373657026,squ,0.13073939853056096,2.571501919939759,0.11299676420295567,1.3784510776565801
23,0,1827,92.83305723728088,19.68048941154869,tri,0.0756392525810432,0.26871150410273864,0.013010300820004714,0.5962050318164694
24,0,1543,120.92062548371942,12.760436805776756,squ,0.8820242252608748,1.0677173383383296,0.4529250375653255,0.7827762953116183
25,2,2465,168.5715857347722,14.622867722668225,tri,0.03668078952996253,0.06471709892753734,0.19924850556427376,1.0433842673806586
26,1,3036,42.82759274779727,70.88887806228962,sin,0.4688032247511387,1.2397331084952805,0.005632821553753102,0.6134178791248804
27,0,2550,69.73850286352399,36.565166949314474,squ,0.04145980333991148,1.9473861055052677,0.005141092876755924,0.664092850079378
28,1,2571,44.22401317024937,58.13583652171978,squ,0.3832561448798606,0.7903618433998746,0.060163040111168735,0.6956894916425567
29,0,1522,39.46326652790195,38.56751186382129,tri,0.16505556688782694,0.6753642038988488,0.06297264639636022,0.6038195440587668
30,2,5241,44.80021623130168,116.98604249901231,sin,0.06484441420701126,0.35761619134937916,0.07361871081049892,0.8048741706623603
31,2,4764,53.95610964925566,88.29398618559819,squ,0.01736549398340929,0.9917439325235258,0.23922172863336522,0.7323591433106801
32,1,566,26.14682492033611,21.646987797733885,tri,0.6052441255165051,0.4156510498118994,0.06291280775677642,0.5395106718220919
33,1,2197,52.70758564375145,41.682804726618265,sin,0.3104967805394028,1.5836494840505346,0.09569623300952573,0.6514207081075745
34,2,365,48.55673688845816,7.51697958696149,squ,0.01050712941101834,0.2316044564784478,0.010411539860136227,0.567642205663891
